"rowlabel","split","sex","yrsarea","resyrago","work2","tenure1","livharm1","agegrp7","ethgrp2a","educat3","rural2","edeprivex","wdeprivex","IndivWgtx","cause2m","walkdark","walkday","homealon","wburgl","wmugged","wcarstol","wfromcar","wraped","wattack","wraceatt","worryx","bcsvictim","rubbcomm","vandcomm","poorhou","antisocx"
137068050,"A (Experiences of the police)","Female","20 years or longer",NA,"Yes","Buying it with the help of a mortgage or loan","Single","45-54","White","Degree or diploma","Urban",2,NA,0.543482959270477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",2.06543946266174
147461190,"C (Crime prevention and security)","Female","10 years but less than 20 years",NA,"No","Own it outright","Married/Civil Partnered","55-64","White","Degree or diploma","Rural",4,NA,1.21283793449402,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-1.13190197944641,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
137116250,"A (Experiences of the police)","Female","20 years or longer","No","No","Rent it","Widowed","55-64","White","Degree or diploma","Urban",1,NA,0.569611310958862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not at all common","Not very common",-0.235942155122757
147354190,"C (Crime prevention and security)","Female","20 years or longer",NA,"Yes","Buying it with the help of a mortgage or loan","Married/Civil Partnered","55-64","White","O level/GCSE","Urban",1,NA,0.994296252727509,NA,NA,NA,NA,"Fairly worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.257573813199997,"Victim of crime","Not at all common","Not at all common","Not at all common",NA
137061230,"C (Crime prevention and security)","Female","20 years or longer",NA,"No","Rent it","Widowed","65-74","White","None","Rural",3,NA,0.410276591777802,NA,NA,NA,NA,"Fairly worried","Fairly worried",NA,NA,"Fairly worried","Fairly worried","Not very worried",1.18415200710297,"Not a victim of crime","Not very common","Not very common","Not very common",NA
136898230,"C (Crime prevention and security)","Female","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","65-74","White","O level/GCSE","Urban",2,NA,1.20282745361328,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.822691202163696,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
135507330,"A (Experiences of the police)","Male","10 years but less than 20 years",NA,"Yes","Rent it","Married/Civil Partnered","45-54","White","None","Urban",1,NA,1.98890960216522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not very common","Not very common","Not very common",-1.21526670455933
136450220,"B (Attitudes to the CJS)","Female","5 years but less than 10 years",NA,"Yes","Own it outright","Married/Civil Partnered","55-64","White","Degree or diploma","Urban",5,NA,1.12460839748383,NA,NA,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136111200,"D (Online Security)","Male","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","55-64","White","Degree or diploma","Rural",4,NA,0.714234352111816,"G. Unemployment","Very safe","Very safe","Very safe",NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
136599250,"A (Experiences of the police)","Male","20 years or longer",NA,"No","Own it outright","Married/Civil Partnered","75+","White","Apprenticeship or A/AS level","Rural",5,NA,0.738865315914154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not a victim of crime","Not at all common","Not at all common","Not at all common",NA
